#no	Lineage_Name	Alt_Lineage_Name	parasiteGenus	order	family	genus	species	subspecies	Host_Status	Host_Age	Host_Environment	continent	country	region	site	coordinates	found	tested	Reference_Name	comment
2896	COEVIO04	 	Plasmodium	Trochiliformes	Trochilidae	Coeligena	Coeligena torquata	 	Unknown	Unknown	Wild	South America	Peru	 	Community_2	-09°43.64999', -076°06.36050'	1	6	McNew et al 2021	Precise locality information as well as age/sex for individual hosts is available in supplemental datasets for McNew et al. 2021
2897	COEVIO04	 	Plasmodium	Trochiliformes	Trochilidae	Coeligena	Coeligena violifer	 	Unknown	Unknown	Wild	South America	Peru	 	Community_2	-09°43.64999', -076°06.36050'	1	14	McNew et al 2021	Precise locality information as well as age/sex for individual hosts is available in supplemental datasets for McNew et al. 2021
2898	COEVIO04	 	Plasmodium	Passeriformes	Formicariidae	Grallaria	Grallaria ruficapilla	 	Unknown	Unknown	Wild	South America	Peru	 	Community_4	-06°06.40999', -078°20.49499'	1	1	McNew et al 2021	Precise locality information as well as age/sex for individual hosts is available in supplemental datasets for McNew et al. 2021
2899	COFLA01	31	Haemoproteus	Passeriformes	Fringillidae	Coereba	Coereba flaveola	 	 	 	Wild	North America	Dominica	 	 	 	 	 	Ricklefs & Fallon 2002	 
2900	COFLA01	31	Haemoproteus	Passeriformes	Fringillidae	Loxigilla	Loxigilla noctis	 	 	 	Wild	North America	Dominica	 	 	 	 	 	Ricklefs & Fallon 2002	 
2901	COFLA01	31	Haemoproteus	Passeriformes	Fringillidae	Loxigilla	Loxigilla noctis	 	 	 	Wild	North America	Martinique	 	 	 	 	 	Ricklefs & Fallon 2002	 
2902	COFLA02	6	Haemoproteus	Passeriformes	Fringillidae	Coereba	Coereba flaveola	 	 	 	Wild	North America	Trinidad and Tobago	 	 	 	 	 	Ricklefs & Fallon 2002	 
2903	COFLA03	Par_bird_sp_12	Haemoproteus	Passeriformes	Fringillidae	Coereba	Coereba flaveola	 	 	 	Wild	Unknown	Unknown Country	 	 	 	 	 	Outlaw & Ricklefs 2009	 
2904	COFLA04	Par_bird_sp_18,Par_bird_sp_19	Haemoproteus	Passeriformes	Fringillidae	Coereba	Coereba flaveola	 	 	 	Wild	Unknown	Unknown Country	 	 	 	 	 	Outlaw & Ricklefs 2009	 
2905	COFLA04	OZ02DR21	Haemoproteus	Passeriformes	Paridae	Poecile	Poecile atricapilla	 	Resident	Unknown	Wild	North America	United States	Alaska	 	 	3	1770	Wilkinson et al 2016	 
2906	COFLA04	 	Haemoproteus	Passeriformes	Pipridae	Neopelma	Neopelma pallescens	 	Resident	Adult	Wild	South America	Brazil	 	Guaribas Biological Reserve	-06°48.00000', -035°5.40000'	1	23	Fecchio et al 2021	 
2907	COFLA05	Par_bird_sp_13	Haemoproteus	Passeriformes	Fringillidae	Coereba	Coereba flaveola	 	 	 	Wild	Unknown	Unknown Country	 	 	 	 	 	Outlaw & Ricklefs 2009	 
2908	COFLA06	Par_bird_sp_10	Haemoproteus	Passeriformes	Fringillidae	Coereba	Coereba flaveola	 	 	 	Wild	Unknown	Unknown Country	 	 	 	 	 	Outlaw & Ricklefs 2009	 
2909	COFLA07	Par_bird_sp_1	Haemoproteus	Passeriformes	Fringillidae	Coereba	Coereba flaveola	 	 	 	Wild	Unknown	Unknown Country	 	 	 	 	 	Outlaw & Ricklefs 2009	 
2910	COFLA08	Par_bird_sp_	Haemoproteus	Passeriformes	Fringillidae	Coereba	Coereba flaveola	 	 	 	Wild	Unknown	Unknown Country	 	 	 	 	 	Outlaw & Ricklefs 2009	 
2911	COFLA10	Pla_bird_sp_1	Plasmodium	Passeriformes	Fringillidae	Coereba	Coereba flaveola	 	 	 	Wild	Unknown	Unknown Country	 	 	 	 	 	Outlaw & Ricklefs 2009	 
2912	COFLA11	Pla_bird_sp_6	Plasmodium	Passeriformes	Fringillidae	Coereba	Coereba flaveola	 	 	 	Wild	Unknown	Unknown Country	 	 	 	 	 	Outlaw & Ricklefs 2009	 
2913	COHEL01	L_COHEL_01        	Leucocytozoon	Trochiliformes	Trochilidae	Coeligena	Coeligena helianthea	 	 	 	Wild	South America	Colombia	 	Monteredondo station	04°37.00000′, -073°43.00000′	1	13	Matta et al 2014a	 
2914	COHEL01	POLCAR01	Leucocytozoon	Trochiliformes	Trochilidae	Metallura	Metallura tyrianthina	 	Unknown	Unknown	Wild	South America	Peru	 	Community_16	-06°14.48400', -079°14.60399'	1	2	McNew et al 2021	Precise locality information as well as age/sex for individual hosts is available in supplemental datasets for McNew et al. 2021
2915	COHEL01	POLCAR01	Leucocytozoon	Trochiliformes	Trochilidae	Phaethornis	Phaethornis hispidus	 	Unknown	Unknown	Wild	South America	Peru	 	Community_11	-06°38.80000', -076°04.95150'	1	1	McNew et al 2021	Precise locality information as well as age/sex for individual hosts is available in supplemental datasets for McNew et al. 2021
2916	COHEL01	POLCAR01	Leucocytozoon	Trochiliformes	Trochilidae	Polyonymus	Polyonymus caroli	 	Unknown	Unknown	Wild	South America	Peru	 	Community_10	-11°46.04300', -076°31.91599'	1	4	McNew et al 2021	Precise locality information as well as age/sex for individual hosts is available in supplemental datasets for McNew et al. 2021
2917	COHEL01	POLCAR01	Leucocytozoon	Passeriformes	Furnariidae	Premnornis	Premnornis guttuligera	 	Unknown	Unknown	Wild	South America	Peru	 	Community_4	-06°06.40999', -078°20.49499'	1	16	McNew et al 2021	Precise locality information as well as age/sex for individual hosts is available in supplemental datasets for McNew et al. 2021
2918	COLAUR01	 	Leucocytozoon	Piciformes	Picidae	Colaptes	Colaptes auratus	 	Migratory	Unknown	Wild	North America	United States	New Mexico	Jemez Mountains	35°50.22000', -106°33.48000'	1	2	Barrow et al unpubl	MSB:Bird:48222
2919	COLAUR01	 	Leucocytozoon	Piciformes	Picidae	Colaptes	Colaptes auratus	 	Migratory	Unknown	Wild	North America	United States	New Mexico	Mt. Taylor	35°19.73400', -107°32.76000'	1	2	Barrow et al unpubl	MSB:Bird:48268
2920	COLBF16	 	Leucocytozoon	Passeriformes	Fringillidae	Pipilo	Pipilo erythrophthalmus	 	Migratory	Adult	Wild	North America	United States	 	Chester Co, Pennsylvania	39°59.04000', -075°29.16000'	1	 	Fecchio et al 2019d	 
2921	COLBF16	 	Leucocytozoon	Passeriformes	Fringillidae	Spizella	Spizella passerina	 	Migratory	Adult	Wild	North America	United States	 	Chester Co, Pennsylvania	39°59.04000', -075°29.16000'	1	 	Fecchio et al 2019d	 
2922	COLBF21	 	Leucocytozoon	Passeriformes	Fringillidae	Piranga	Piranga flava	 	Migratory	Adult	Wild	North America	United States	New Mexico	El Malpais Conservation Area	34°50.00000', -108°09.00000'	1	6	Marroquin-Flores unpub	 
2923	COLBF21	 	Leucocytozoon	Passeriformes	Paridae	Poecile	Poecile gambeli	 	Resident	Adult	Wild	North America	United States	New Mexico	El Malpais Conservation Area	34°50.00000', -108°09.00000'	1	3	Marroquin-Flores unpub	 
2924	COLBF21	 	Leucocytozoon	Passeriformes	Vireonidae	Vireo	Vireo plumbeus	 	Migratory	Adult	Wild	North America	United States	New Mexico	El Malpais Conservation Area	34°50.00000', -108°09.00000'	1	3	Marroquin-Flores unpub	 
2925	COLBF21	 	Leucocytozoon	Passeriformes	Paridae	Baeolophus	Baeolophus ridgwayi	 	Resident	Adult	Wild	North America	United States	New Mexico	Elk Springs	35°50.00000', -106°54.00000'	1	2	Marroquin-Flores unpub	 
2926	COLBF21	 	Leucocytozoon	Passeriformes	Vireonidae	Vireo	Vireo plumbeus	 	Migratory	Adult	Wild	North America	United States	New Mexico	Mesa Chivato	35°32.00000', -107°21.00000'	2	5	Marroquin-Flores unpub	 
2927	COLBF21	 	Leucocytozoon	Passeriformes	Parulidae	Dendroica	Dendroica coronata	Dendroica coronata auduboni	Migratory	Adult	Wild	North America	United States	New Mexico	Jemez Mountains	35°50.22000', -106°33.48000'	1	17	Williamson et al 2019	MSB:Bird:41212
2928	COLBF21	 	Leucocytozoon	Passeriformes	Parulidae	Dendroica	Dendroica coronata	 	Migratory	Adult	Wild	North America	United States	Alaska	Denali Highway near Seattle Creek	63°19.43100', -148°13.90860'	1	12	Galen et al 2018	 
2929	COLBF21	 	Leucocytozoon	Passeriformes	Parulidae	Setophaga	Setophaga striata	 	Migratory	Adult	Wild	North America	United States	Alaska	Denali Highway near Seattle Creek	63°19.43100', -148°13.90860'	1	4	Galen et al 2018	 
2930	COLBF21	 	Leucocytozoon	Passeriformes	Parulidae	Setophaga	Setophaga striata	 	Migratory	Adult	Wild	North America	United States	Alaska	Denali Highway Corkscrew Creek	63°02.32860', -147°00.22320'	1	12	Galen et al 2018	 
2931	COLBF21	CARCAR07	Leucocytozoon	Passeriformes	Fringillidae	Cardinalis	Cardinalis cardinalis	 	Resident	Unknown	Wild	North America	United States	Michigan	 	 	 	 	Smith et al 2018	 
2932	COLBF21	CARCAR07	Leucocytozoon	Passeriformes	Parulidae	Seiurus	Seiurus noveboracensis	 	Migratory	Unknown	Wild	North America	United States	Michigan	 	 	 	 	Smith et al 2018	 
2933	COLBF21	 	Leucocytozoon	Passeriformes	Vireonidae	Vireo	Vireo plumbeus	 	Migratory	Unknown	Wild	North America	United States	New Mexico	Mt. Taylor	35°19.73400', -107°32.76000'	3	14	Barrow et al unpubl	MSB:Bird:47740;47923;47926
2934	COLBF21	 	Leucocytozoon	Passeriformes	Fringillidae	Carduelis	Carduelis psaltria	 	Migratory	Unknown	Wild	North America	United States	New Mexico	Zuni Mountains	35°10.74000', -108°07.92000'	1	4	Barrow et al unpubl	MSB:Bird:47801
2935	COLBF21	 	Leucocytozoon	Passeriformes	Paridae	Baeolophus	Baeolophus ridgwayi	 	Resident	Unknown	Wild	North America	United States	New Mexico	Zuni Mountains	35°10.74000', -108°07.92000'	1	3	Barrow et al unpubl	MSB:Bird:47910
2936	COLBF21	 	Leucocytozoon	Passeriformes	Parulidae	Dendroica	Dendroica nigrescens	 	Migratory	Unknown	Wild	North America	United States	New Mexico	Jemez Mountains	35°50.22000', -106°33.48000'	1	1	Barrow et al unpubl	MSB:Bird:47983
