#no	Lineage_Name	Alt_Lineage_Name	parasiteGenus	order	family	genus	species	subspecies	Host_Status	Host_Age	Host_Environment	continent	country	region	site	coordinates	found	tested	Reference_Name	comment
8079	PADOM11	 	Plasmodium	Passeriformes	Fringillidae	Coryphospingus	Coryphospingus cucullatus	 	Unknown	Unknown	Wild	South America	Peru	 	Community_1	-11°42.66000', -069°12.76800'	1	1	McNew et al 2021	Precise locality information as well as age/sex for individual hosts is available in supplemental datasets for McNew et al. 2021
8080	PADOM11	 	Plasmodium	Passeriformes	Fringillidae	Pheucticus	Pheucticus chrysogaster	 	Unknown	Unknown	Wild	South America	Peru	 	Community_6	-07°23.88199', -078°46.69600'	1	3	McNew et al 2021	Precise locality information as well as age/sex for individual hosts is available in supplemental datasets for McNew et al. 2021
8081	PADOM11	 	Plasmodium	Passeriformes	Fringillidae	Poospiza	Poospiza hispaniolensis	 	Unknown	Unknown	Wild	South America	Peru	 	Community_17	-08°23.21100', -078°38.71079'	2	11	McNew et al 2021	Precise locality information as well as age/sex for individual hosts is available in supplemental datasets for McNew et al. 2021
8082	PADOM11	 	Plasmodium	Passeriformes	Fringillidae	Ramphocelus	Ramphocelus carbo	 	Unknown	Unknown	Wild	South America	Peru	 	Community_1	-11°42.66000', -069°12.76800'	2	6	McNew et al 2021	Precise locality information as well as age/sex for individual hosts is available in supplemental datasets for McNew et al. 2021
8083	PADOM11	 	Plasmodium	Passeriformes	Fringillidae	Ramphocelus	Ramphocelus carbo	 	Unknown	Unknown	Wild	South America	Peru	 	Community_11	-06°38.80000', -076°04.95150'	2	4	McNew et al 2021	Precise locality information as well as age/sex for individual hosts is available in supplemental datasets for McNew et al. 2021
8084	PADOM11	 	Plasmodium	Passeriformes	Pipridae	Chiroxiphia	Chiroxiphia pareola	 	Resident	Adult	Wild	South America	Brazil	 	Guaribas Biological Reserve	-06°48.00000', -035°5.40000'	1	5	Fecchio et al 2021	 
8085	PADOM11	 	Plasmodium	Passeriformes	Tyrannidae	Elaenia	Elaenia albiceps	 	Resident	Adult	Wild	South America	Brazil	 	Parque Estadual da Serra do Mar	-23°59.62164', -046°44.00000'	1	151	Fecchio et al 2021	 
8086	PADOM11	 	Plasmodium	Passeriformes	Pipridae	Schiffornis	Schiffornis virescens	 	Resident	Adult	Wild	South America	Brazil	 	PARNA Saint Hilaire-Lange	-25°40.27218', -048°35.72202'	1	2	Fecchio et al 2021	 
8087	PADOM11	 	Plasmodium	Passeriformes	Fringillidae	Tachyphonus	Tachyphonus coronatus	 	Resident	Adult	Wild	South America	Brazil	 	PARNA Saint Hilaire-Lange	-25°40.27218', -048°35.72202'	2	4	Fecchio et al 2021	 
8088	PADOM11	 	Plasmodium	Passeriformes	Paridae	Poecile	Poecile atricapilla	 	Resident	Adult	Wild	North America	United States	Pennsylvania	Tuscarora State Park	40°38.00000', -076°01.80000'	2	119	Rice et al 2021	 
8089	PADOM11	 	Plasmodium	Passeriformes	Paridae	Parus	Parus carolinensis	 	Resident	Adult	Wild	North America	United States	Pennsylvania	Great Marsh	40°08.00000', -075°43.80000'	5	336	Rice et al 2021	 
8090	PADOM11	 	Plasmodium	Passeriformes	Paridae	Parus	Parus carolinensis	 	Resident	Adult	Wild	North America	United States	Pennsylvania	Nolde Forest Environmental Education Center	40°16.20000', -075°57.00000'	1	113	Rice et al 2021	 
8091	PADOM11	 	Plasmodium	Passeriformes	Paridae	Poecile	Poecile atricapillus x carolinensis	 	Resident	Adult	Wild	North America	United States	Pennsylvania	Hawk Mountain	40°39.00000', -076°00.00000'	4	149	Rice et al 2021	 
8092	PADOM11	 	Plasmodium	Passeriformes	Paridae	Poecile	Poecile atricapillus x carolinensis	 	Resident	Adult	Wild	North America	United States	Pennsylvania	Nolde Forest Environmental Education Center	40°16.20000', -075°57.00000'	1	147	Rice et al 2021	 
8093	PADOM14	61	Plasmodium	Passeriformes	Parulidae	Icteria	Icteria virens	 	 	 	Wild	North America	United States	Missouri	 	 	 	 	Ricklefs & Fallon 2002	 
8094	PADOM14	61	Plasmodium	Passeriformes	Passeridae	Passer	Passer domesticus	 	 	 	Wild	North America	United States	 	 	 	 	 	Ricklefs & Fallon 2002	 
8095	PADOM15	 	Haemoproteus	Passeriformes	Passeridae	Passer	Passer domesticus	 	 	 	Wild	Europe	Spain	 	Ciudad Real	39°00.00000', -003°54.00000'	1	29	Marzal et al 2011	 
8096	PADOM16	 	Plasmodium	Passeriformes	Passeridae	Passer	Passer domesticus	 	 	 	Wild	Africa	Egypt	 	Luxor	25°42.00000', 032°36.00000'	18	34	Marzal et al 2011	 
8097	PADOM17	 	Plasmodium	Passeriformes	Passeridae	Passer	Passer domesticus	 	 	 	Wild	South America	Brazil	 	Caceres	-16°06.00000', -057°42.00000'	1	28	Marzal et al 2011	 
8098	PADOM17	PADOM17	Plasmodium	Passeriformes	Fringillidae	Tiaris	Tiaris fuliginosus	 	 	 	Wild	South America	Brazil	 	Salto da Divisa	-15°59.00000', -039°57.00000'	1	 	Lacorte et al 2013	 
8099	PADOM17	 	Plasmodium	Passeriformes	Icteridae	Dolichonyx	Dolichonyx oryzivorus	 	 	 	Wild	North America	United States	Vermont	northwestern Vermont	44°23.00000', -073°16.00000'	4	194	Levin et al 2013	 
8100	PADOM17	 	Plasmodium	Passeriformes	Icteridae	Dolichonyx	Dolichonyx oryzivorus	 	 	 	Wild	North America	United States	New Hampshire	Platte River	40°48.00000', -098°26.00000'	11	218	Levin et al 2013	 
8101	PADOM17	 	Plasmodium	Passeriformes	Icteridae	Dolichonyx	Dolichonyx oryzivorus	 	 	 	Wild	North America	United States	Oregon	Malheur National Wildlife Refuge	43°16.00000', -118°50.00000'	2	26	Levin et al 2013	 
8102	PADOM17	FURLEU01	Plasmodium	Passeriformes	Fringillidae	Tangara	Tangara sayaca	 	Resident	Adult	Wild	South America	Brazil	 	Jauru	-14°52.00000', -059°00.00000'	 	 	Fecchio et al 2017b	 
8103	PADOM17	FURLEU01	Plasmodium	Passeriformes	Furnariidae	Furnarius	Furnarius leucopus	 	Resident	Unknown	Wild	South America	Brazil	 	Aiuaba	-06°36.00000', -040°07.00000'	 	 	Fecchio et al 2017a	 
8104	PADOM17	FURLEU01	Plasmodium	Passeriformes	Fringillidae	Neothraupis	Neothraupis fasciata	 	Resident	Unknown	Wild	South America	Brazil	 	Cerrado	-15°32.00000', -047°33.00000'	 	 	Fecchio et al 2017a	 
8105	PADOM17	FURLEU01	Plasmodium	Passeriformes	Furnariidae	Automolus	Automolus infuscatus	 	Resident	Unknown	Wild	South America	Brazil	 	RioPurus2	-05°43.00000', -063°12.00000'	 	 	Fecchio et al 2017a	 
8106	PADOM17	FURLEU01	Plasmodium	Galbuliformes	Galbulidae	Galbula	Galbula cyanicollis	 	Resident	Unknown	Wild	South America	Brazil	 	RioPurus2	-05°43.00000', -063°12.00000'	 	 	Fecchio et al 2017a	 
8107	PADOM17	FURLEU01	Plasmodium	Passeriformes	Fringillidae	Tachyphonus	Tachyphonus rufus	 	Resident	Unknown	Wild	South America	Brazil	 	Natal	-05°55.00000', -035°10.00000'	 	 	Fecchio et al 2017a	 
8108	PADOM17	FURLEU01	Plasmodium	Passeriformes	Fringillidae	Ramphocelus	Ramphocelus carbo	 	Resident	Unknown	Wild	South America	Brazil	 	Pantanal1	-19°34.00000', -057°01.00000'	 	 	Fecchio et al 2017a	 
8109	PADOM17	FURLEU01	Plasmodium	Passeriformes	Fringillidae	Ramphocelus	Ramphocelus carbo	 	Resident	Unknown	Wild	South America	Brazil	 	Pantanal1	-19°34.00000', -057°01.00000'	 	 	Fecchio et al 2017a	 
8110	PADOM17	FURLEU01	Plasmodium	Passeriformes	Fringillidae	Coryphospingus	Coryphospingus pileatus	 	Resident	Unknown	Wild	South America	Brazil	 	Serido	-06°34.00000', -037°16.00000'	 	 	Fecchio et al 2017a	 
8111	PADOM17	FURLEU01	Plasmodium	Passeriformes	Fringillidae	Arremon	Arremon taciturnus	 	Resident	Unknown	Wild	South America	Brazil	 	Madeira15	-09°20.00000', -064°42.00000'	 	 	Fecchio et al 2017a	 
8112	PADOM17	FURLEU01	Plasmodium	Passeriformes	Thamnophilidae	Gymnopithys	Gymnopithys salvini	 	Resident	Unknown	Wild	South America	Peru	 	CICRA	-12°34.00000', -070°05.00000'	 	 	Fecchio et al 2017a	 
8113	PADOM17	FURLEU01	Plasmodium	Passeriformes	Fringillidae	Coryphospingus	Coryphospingus pileatus	 	Resident	Adult	Wild	South America	Brazil	 	Milagres1	-12°54.19717', -039°50.86517'	1	 	Fecchio et al 2019a	 
8114	PADOM17	FURLEU01	Plasmodium	Passeriformes	Fringillidae	Neothraupis	Neothraupis fasciata	 	Resident	Adult	Wild	South America	Brazil	 	Macapa	-20°26.73333', -054°42.83333'	2	 	Fecchio et al 2019a	 
8115	PADOM17	FURLEU01	Plasmodium	Passeriformes	Certhiidae	Polioptila	Polioptila plumbea	 	Resident	Adult	Wild	South America	Brazil	 	Flona Contendas do Sincora	-15°56.06667', -041°02.91667'	1	 	Fecchio et al 2019a	 
8116	PADOM17	FURLEU01	Plasmodium	Passeriformes	Tyrannidae	Griseotyrannus	Griseotyrannus aurantioatrocristatus	 	Resident	Adult	Wild	South America	Brazil	 	PARNA Chapada dos Guimarães	-15°19.00000', -055°52.00000'	1	 	Fecchio et al 2019b	 
8117	PADOM17	FURLEU01	Plasmodium	Passeriformes	Fringillidae	Gubernatrix	Gubernatrix cristata	 	Resident	Adult	Wild	South America	Brazil	 	Espinilho	-30°12.33333', -057°29.75000'	2	 	Fecchio et al 2019b	 
8118	PADOM17	FURLEU01	Plasmodium	Passeriformes	Fringillidae	Tangara	Tangara cayana	 	Resident	Adult	Wild	South America	Brazil	 	PARNA Grande Sertao Veredas	-15°10.00000', -045°44.00000'	2	 	Fecchio et al 2019b	 
8119	PADOM17	FURLEU01	Plasmodium	Passeriformes	Fringillidae	Zonotrichia	Zonotrichia capensis	 	Resident	Adult	Wild	South America	Brazil	 	Espinilho	-30°12.33333', -057°29.75000'	1	 	Fecchio et al 2019b	 
8120	PADOM17	FURLEU01	Plasmodium	Passeriformes	Fringillidae	Zonotrichia	Zonotrichia capensis	 	Resident	Adult	Wild	South America	Argentina	 	Santa Rosa	-36°43.00000', -064°17.00000'	1	 	Fecchio et al 2019b	 
8121	PADOM17	RAMCAR07	Plasmodium	Passeriformes	Fringillidae	Ramphocelus	Ramphocelus carbo	 	Unknown	Unknown	Wild	South America	Peru	 	Community_1	-11°42.66000', -069°12.76800'	1	6	McNew et al 2021	Precise locality information as well as age/sex for individual hosts is available in supplemental datasets for McNew et al. 2021
8122	PADOM18	 	Plasmodium	Passeriformes	Passeridae	Passer	Passer domesticus	 	 	 	Wild	Europe	Romania	 	Cluj Napoca	46°30.00000', 023°18.00000'	1	31	Marzal et al 2011	 
8123	PADOM19	 	Plasmodium	Passeriformes	Passeridae	Passer	Passer domesticus	 	 	 	Wild	South America	Brazil	 	Canela	-029°24.00000', -050°48.00000'	1	19	Marzal et al 2011	 
8124	PADOM20	 	Plasmodium	Passeriformes	Passeridae	Passer	Passer domesticus	 	 	 	Wild	Europe	Spain	 	Badajoz	38°53.00000', -006°58.00000'	1	126	Marzal et al 2011	 
8125	PADOM21	 	Plasmodium	Passeriformes	Passeridae	Passer	Passer domesticus	 	 	 	Wild	Europe	Romania	 	Vacareni	45°12.00000', 028°06.00000'	1	40	Marzal et al 2011	 
8126	PADOM22	 	Haemoproteus	Passeriformes	Passeridae	Passer	Passer domesticus	 	 	 	Wild	Europe	Spain	 	Badajoz	38°53.00000', -006°58.00000'	2	126	Marzal et al 2011	 
8127	PADOM22	 	Haemoproteus	Passeriformes	Passeridae	Passer	Passer domesticus	 	Resident	Unknown	Wild	Europe	Spain	Extremadura	Badajoz	38°53.00000', -006°58.00000'	2	275	Garcia-Longoria et al 2019	 
8128	PADOM22	 	Haemoproteus	Passeriformes	Passeridae	Passer	Passer domesticus	 	Resident	Unknown	Wild	Europe	Spain	 	Badajoz	38°53.00000', -006°58.00000'	14	186	Neto et al 2020	 
8129	PADOM23	 	Haemoproteus	Passeriformes	Passeridae	Passer	Passer domesticus	 	 	 	Wild	Europe	Portugal	 	Vilamoura	37°05.57333', -008°08.53733'	1	25	Ventim et al 2012a	 
8130	PADOM23	H209	Haemoproteus	Passeriformes	Passeridae	Passer	Passer hispaniolensis	 	Resident	Adult	Wild	Africa	Morocco	 	 	 	1	7	Mata et al 2015	 
8131	PADOM23	 	Haemoproteus	Passeriformes	Passeridae	Passer	Passer domesticus x hispaniolensis	 	Resident	Unknown	Wild	Africa	Tunisia	 	Kettana	33°45.00000', 010°12.00000'	7	39	Ayadi et al 2018	 
8132	PADOM23	 	Haemoproteus	Passeriformes	Passeridae	Passer	Passer domesticus x hispaniolensis	 	Resident	Unknown	Wild	Africa	Tunisia	 	Zrig	33°53.00000', 010°12.00000'	5	54	Ayadi et al 2018	 
8133	PADOM23	 	Haemoproteus	Passeriformes	Passeridae	Passer	Passer domesticus x hispaniolensis	 	Resident	Unknown	Wild	Africa	Tunisia	 	Oum-Errous	33°43.00000', 008°53.00000'	21	77	Ayadi et al 2018	 
8134	PADOM25	H207	Haemoproteus	Passeriformes	Passeridae	Passer	Passer domesticus	 	Resident	Adult	Wild	Africa	Morocco	 	 	 	1	8	Mata et al 2015	 
8135	PADOM26	Clade O	Haemoproteus	Passeriformes	Passeridae	Passer	Passer domesticus	 	Resident	Unknown	Wild	Africa	South Africa	Western Cape	 	 	1	2	Okanga et al 2014	 
8136	PADOM27	 	Plasmodium	Passeriformes	Passeridae	Passer	Passer domesticus	 	Resident	Juvenile	Wild	Europe	Spain	 	Palacio de Doñana	36°59.32223', -006°26.58276'	1	92	Ferraguti et al 2018	 
8137	PADOM28	 	Plasmodium	Passeriformes	Passeridae	Passer	Passer domesticus	 	Resident	Unknown	Wild	Europe	Spain	 	Colegio Publico Lapachar	36°43.84362', -006°25.79892'	1	92	Ferraguti et al 2018	 
8138	PADOM28	 	Plasmodium	Passeriformes	Passeridae	Passer	Passer domesticus	 	Resident	Adult	Wild	Europe	Spain	 	Palacio Duquesa Medina Sidonia	36°46.59330', -006°21.22152'	1	36	Ferraguti et al 2018	 
8139	PADOM29	 	Plasmodium	Passeriformes	Passeridae	Passer	Passer domesticus	 	Resident	Juvenile	Wild	Europe	Spain	 	Humedal Graveras de las Balastreras 	37°20.30675', -006°43.38858'	1	70	Ferraguti et al 2018	 
8140	PADOM30	PADOM25	Plasmodium	Passeriformes	Passeridae	Passer	Passer domesticus	 	Resident	Juvenile	Wild	Europe	Spain	 	Ganadería en dehesa Pan y Ajo	37°25.65234', -006°50.63280'	1	82	Ferraguti et al 2018	 
8141	PADOM31	PADOM26	Plasmodium	Passeriformes	Passeridae	Passer	Passer domesticus	 	Resident	Unknown	Wild	Europe	Spain	 	Palacio de Doñana	36°59.32223', -006°26.58276'	1	92	Ferraguti et al 2018	 
8142	PADOM32	 	Haemoproteus	Passeriformes	Passeridae	Passer	Passer domesticus	 	Resident	Adult	Wild	Asia	Iran	Golestan	 	 	1	 	Nourani et al 2018	 
8143	PADOM33	 	Plasmodium	Passeriformes	Passeridae	Passer	Passer domesticus	 	Migratory	Adult	Wild	Europe	Bulgaria	 	Kalimok	44°01.00000', 026°26.00000'	1	47	Emmenegger et al 2018	 
8144	PADOM36	 	Leucocytozoon	Passeriformes	Passeridae	Passer	Passer domesticus	 	Resident	Unknown	Wild	Europe	Sweden	Skane Lan	Magnaröd	55°44.24100', 013°37.79200'	2	196	Neto et al 2020	 
8145	PADOM37	 	Leucocytozoon	Passeriformes	Passeridae	Passer	Passer domesticus	 	Resident	Unknown	Wild	Europe	Spain	 	Badajoz	38°53.00000', -006°58.00000'	1	186	Neto et al 2020	 
8146	PAGRI01	 	Haemoproteus	Passeriformes	Passeridae	Passer	Passer griseus	 	 	 	Wild	Africa	Nigeria	 	Malamfatori	13°33.00000', 013°23.00000'	1	7	Bensch & Ottosson  unpubl	 
8147	PAGRI01	 	Haemoproteus	Passeriformes	Passeridae	Passer	Passer griseus	 	Resident	Unknown	Wild	Africa	Benin	 	 	 	 	 	Harvey & Voelker 2017	 
8148	PAGRI02	 	Plasmodium	Passeriformes	Passeridae	Passer	Passer griseus	 	 	 	Wild	Africa	Nigeria	 	Malamfatori	13°33.00000', 013°23.00000'	1	7	Bensch & Ottosson  unpubl	 
8149	PAGRI02	H206	Plasmodium	Passeriformes	Passeridae	Passer	Passer domesticus	 	Resident	Adult + Juvenile	Wild	Africa	Morocco	 	 	 	1	8	Mata et al 2015	 
8150	PAGRI02	H206	Plasmodium	Passeriformes	Passeridae	Passer	Passer hispaniolensis	 	Resident	Adult	Wild	Africa	Morocco	 	 	 	1	7	Mata et al 2015	 
8151	PAGRI02	 	Plasmodium	Passeriformes	Passeridae	Passer	Passer domesticus	 	Resident	Adult	Wild	Europe	Spain	 	Gibraleon	37°22.21548', -006°57.82506'	1	94	Ferraguti et al 2018	 
8152	PAGRI02	 	Plasmodium	Passeriformes	Passeridae	Passer	Passer domesticus	 	Resident	Unknown	Wild	Europe	Spain	 	Sevilla	37°21.50592', -005°58.72164'	1	37	Ferraguti et al 2018	 
8153	PAGRI02	 	Plasmodium	Passeriformes	Passeridae	Passer	Passer domesticus	 	Resident	Juvenile	Wild	Europe	Spain	 	Club Hipico Dolmen de Soto	37°19.87926', -006°46.12800'	1	75	Ferraguti et al 2018	 
8154	PAGRI02	 	Plasmodium	Passeriformes	Passeridae	Passer	Passer domesticus	 	Resident	Juvenile	Wild	Europe	Spain	 	Doñana	36°58.84673', -006°29.00460'	1	16	Ferraguti et al 2018	 
8155	PAGRI02	 	Plasmodium	Passeriformes	Passeridae	Passer	Passer domesticus	 	Resident	Adult + Juvenile	Wild	Europe	Spain	 	Lantejuela	37°21.00066', -005°13.39506'	1	38	Ferraguti et al 2018	 
8156	PAGRI02	 	Plasmodium	Passeriformes	Passeridae	Passer	Passer domesticus	 	Resident	Juvenile	Wild	Europe	Spain	 	Cortijo Veta la Palma	37°01.81985', -006°11.40186'	1	87	Ferraguti et al 2018	 
8157	PAGRI02	 	Plasmodium	Passeriformes	Passeridae	Passer	Passer domesticus	 	Resident	Adult	Wild	Europe	Spain	 	Dehesa Beas villages	37°25.45698', -006°49.18488'	1	65	Ferraguti et al 2018	 
8158	PAGRI02	 	Plasmodium	Passeriformes	Passeridae	Passer	Passer domesticus	 	Resident	Juvenile	Wild	Europe	Spain	 	Escuela de Equitación Espigares	37°20.76078', -005°56.58606'	1	51	Ferraguti et al 2018	 
8159	PAGRI02	 	Plasmodium	Passeriformes	Passeridae	Passer	Passer domesticus	 	Resident	Adult + Juvenile	Wild	Europe	Spain	 	Humedal Graveras de las Balastreras 	37°20.30675', -006°43.38858'	2	70	Ferraguti et al 2018	 
8160	PAGRI02	 	Plasmodium	Passeriformes	Passeridae	Passer	Passer domesticus x hispaniolensis	 	Resident	Unknown	Wild	Africa	Tunisia	 	Nakta	34°34.00000', 010°04.00000'	1	25	Ayadi et al 2018	 
8161	PAGRI02	 	Plasmodium	Passeriformes	Passeridae	Passer	Passer domesticus x hispaniolensis	 	Resident	Unknown	Wild	Africa	Tunisia	 	Oum-Errous	33°43.00000', 008°53.00000'	9	77	Ayadi et al 2018	 
8162	PAGRI02	 	Plasmodium	Passeriformes	Passeridae	Passer	Passer hispaniolensis	 	Migratory	Adult	Wild	Europe	Bulgaria	 	Kalimok	44°01.00000', 026°26.00000'	3	83	Emmenegger et al 2018	 
8163	PAGRI02	 	Plasmodium	Passeriformes	Passeridae	Passer	Passer domesticus	 	Resident	Unknown	Wild	Europe	Spain	 	Badajoz	38°53.00000', -006°58.00000'	2	186	Neto et al 2020	 
8164	PAGRI03	 	Haemoproteus	Passeriformes	Passeridae	Passer	Passer griseus	 	 	 	Wild	Africa	Nigeria	 	Malamfatori	13°33.00000', 013°23.00000'	1	7	Bensch & Ottosson  unpubl	 
8165	PAGRI04	H_5	Haemoproteus	Passeriformes	Passeridae	Passer	Passer griseus	 	 	 	Wild	Africa	Kenya	 	 	 	 	 	Ishtiaq et al 2012	 
8166	PAGRI05	B26	Haemoproteus	Passeriformes	Passeridae	Passer	Passer griseus	 	Resident	Unknown	Wild	Africa	Benin	 	 	 	 	 	Harvey & Voelker 2017	 
8167	PAGUL01	 	Plasmodium	Passeriformes	Timaliidae	Leiothrix	Leiothrix lutea	 	Unknown	 	Wild	Asia	China	 	Nanling	30°53.60000', 118°20.20000'	1	 	Zhang et al 2014	 
8168	PAGUL01	 	Plasmodium	Passeriformes	Sylviidae	Psittiparus	Psittiparus gularis	 	Unknown	 	Wild	Asia	China	 	Badagongshan	29°36.80000', 109°49.30000'	1	 	Zhang et al 2014	 
8169	PAHIS03	ERU-235L	Leucocytozoon	Passeriformes	Passeridae	Passer	Passer hispaniolensis	 	Migratory	Adult	Wild	Asia	Turkey	 	Sultan Marshes	38°14.77050', 035°11.92710'	1	88	Ciloglu et al 2020a	 
8170	PAHIS05	 	Plasmodium	Passeriformes	Passeridae	Passer	Passer hispaniolensis	 	Migratory	Adult	Wild	Europe	Bulgaria	 	Kalimok	44°01.00000', 026°26.00000'	1	83	Emmenegger et al 2018	 
8171	PAHIS06	 	Plasmodium	Passeriformes	Passeridae	Passer	Passer hispaniolensis	 	Migratory	Adult	Wild	Europe	Bulgaria	 	Kalimok	44°01.00000', 026°26.00000'	1	83	Emmenegger et al 2018	 
8172	PAHIS07	 	Plasmodium	Passeriformes	Passeridae	Passer	Passer hispaniolensis	 	Migratory	Adult	Wild	Europe	Bulgaria	 	Kalimok	44°01.00000', 026°26.00000'	1	83	Emmenegger et al 2018	 
8173	PAHIS1	 	Haemoproteus	Passeriformes	Passeridae	Passer	Passer domesticus	 	 	 	Wild	Europe	Bulgaria	 	 	 	3	59	Dimitrov et al 2010	 
8174	PAHIS1	 	Haemoproteus	Passeriformes	Passeridae	Passer	Passer hispaniolensis	 	 	 	Wild	Europe	Bulgaria	 	 	 	1	15	Dimitrov et al 2010	 
8175	PAHIS1	 	Haemoproteus	Passeriformes	Passeridae	Passer	Passer domesticus	 	 	 	Wild	Asia	Turkey	 	Antalya	37°00.00000', 030°30.00000'	2	34	Marzal et al 2011	 
8176	PAHIS1	 	Haemoproteus	Passeriformes	Passeridae	Passer	Passer domesticus	 	 	 	Wild	Europe	Spain	 	Badajoz	38°53.00000', -006°58.00000'	2	126	Marzal et al 2011	 
8177	PAHIS1	 	Haemoproteus	Passeriformes	Passeridae	Passer	Passer domesticus	 	 	 	Wild	Europe	Romania	 	Cojocna	46°30.00000', 023°30.00000'	1	33	Marzal et al 2011	 
8178	PAHIS1	 	Haemoproteus	Passeriformes	Passeridae	Passer	Passer domesticus	 	 	 	Wild	Europe	Bulgaria	 	Kalimok	44°01.00000', 026°26.00000'	2	36	Marzal et al 2011	 
8179	PAHIS1	 	Haemoproteus	Passeriformes	Passeridae	Passer	Passer hispaniolensis	 	 	 	Wild	Europe	Bulgaria	 	Kalimok	44°01.00000', 026°26.00000'	1	21	Marzal et al 2011	 
8180	PAHIS1	H208	Haemoproteus	Passeriformes	Passeridae	Passer	Passer domesticus	 	Resident	Juvenile	Wild	Africa	Morocco	 	 	 	1	8	Mata et al 2015	 
8181	PAHIS1	 	Haemoproteus	Passeriformes	Sylviidae	Acrocephalus	Acrocephalus arundinaceus	 	Migratory	Adult	Wild	Asia	Turkey	 	Sultan Marshes	38°14.77050', 035°11.92710'	1	41	Ciloglu et al 2020a	 
8182	PAHIS1	 	Haemoproteus	Passeriformes	Passeridae	Passer	Passer domesticus x hispaniolensis	 	Resident	Unknown	Wild	Africa	Tunisia	 	Kettana	33°45.00000', 010°12.00000'	1	39	Ayadi et al 2018	 
8183	PAHIS1	 	Haemoproteus	Passeriformes	Passeridae	Passer	Passer domesticus x hispaniolensis	 	Resident	Unknown	Wild	Africa	Tunisia	 	Zrig	33°53.00000', 010°12.00000'	2	54	Ayadi et al 2018	 
8184	PAHIS1	 	Haemoproteus	Passeriformes	Passeridae	Passer	Passer domesticus x hispaniolensis	 	Resident	Unknown	Wild	Africa	Tunisia	 	Gafsa	34°24.00000', 008°46.00000'	3	40	Ayadi et al 2018	 
8185	PAHIS1	 	Haemoproteus	Passeriformes	Passeridae	Passer	Passer domesticus x hispaniolensis	 	Resident	Unknown	Wild	Africa	Tunisia	 	Oum-Errous	33°43.00000', 008°53.00000'	1	77	Ayadi et al 2018	 
8186	PAHIS1	 	Haemoproteus	Passeriformes	Passeridae	Passer	Passer hispaniolensis	 	Migratory	Adult	Wild	Europe	Bulgaria	 	Kalimok	44°01.00000', 026°26.00000'	1	83	Emmenegger et al 2018	 
8187	PAHIS1	 	Haemoproteus	Passeriformes	Passeridae	Passer	Passer domesticus	 	Resident	Unknown	Wild	Europe	Spain	Extremadura	Badajoz	38°53.00000', -006°58.00000'	2	275	Garcia-Longoria et al 2019	 
8188	PAHIS2	H210	Haemoproteus	Passeriformes	Passeridae	Passer	Passer hispaniolensis	 	Resident	Adult	Wild	Africa	Morocco	 	 	 	3	7	Mata et al 2015	 
8189	PAHIS2	 	Haemoproteus	Passeriformes	Passeridae	Passer	Passer hispaniolensis	 	Migratory	Adult	Wild	Asia	Turkey	 	Sultan Marshes	38°14.77050', 035°11.92710'	1	88	Ciloglu et al 2020a	 
8190	PAHIS2	 	Haemoproteus	Passeriformes	Passeridae	Passer	Passer domesticus x hispaniolensis	 	Resident	Unknown	Wild	Africa	Tunisia	 	Kettana	33°45.00000', 010°12.00000'	2	39	Ayadi et al 2018	 
8191	PAHIS2	 	Haemoproteus	Passeriformes	Passeridae	Passer	Passer domesticus x hispaniolensis	 	Resident	Unknown	Wild	Africa	Tunisia	 	Oum-Errous	33°43.00000', 008°53.00000'	3	77	Ayadi et al 2018	 
8192	PAHIS2	 	Haemoproteus	Passeriformes	Passeridae	Passer	Passer domesticus	 	Resident	Adult	Wild	Asia	Iran	Khorasan	 	 	1	 	Nourani et al 2018	 
8193	PAMEL01	H_4A,H_4B,H_4C,H_4D,H_4E,H_4F,H_4G,H_4H	Haemoproteus	Passeriformes	Passeridae	Passer	Passer melanurus	 	 	 	Wild	Africa	Botswana	 	 	 	 	 	Ishtiaq et al 2012	 
8194	PAMEL01	H_4A,H_4B,H_4C,H_4D,H_4E,H_4F,H_4G,H_4H	Haemoproteus	Passeriformes	Passeridae	Passer	Passer diffusus	 	 	 	Wild	Africa	Botswana	 	 	 	6	 	Ishtiaq et al 2012	 
8195	PAMEL01	H_4A,H_4B,H_4C,H_4D,H_4E,H_4F,H_4G,H_4H	Haemoproteus	Passeriformes	Hirundinidae	Hirundo	Hirundo abyssinica	 	 	 	Wild	Africa	Botswana	 	 	 	 	 	Ishtiaq et al 2012	 
8196	PAMEL01	Clade N	Haemoproteus	Passeriformes	Passeridae	Passer	Passer melanurus	 	Resident	Unknown	Wild	Africa	South Africa	Western Cape	 	 	1	19	Okanga et al 2014	 
8197	PAMEL02	H_14	Haemoproteus	Passeriformes	Passeridae	Passer	Passer melanurus	 	 	 	Wild	Africa	Botswana	 	 	 	 	 	Ishtiaq et al 2012	 
8198	PAMON01	 	Haemoproteus	Passeriformes	Passeridae	Passer	Passer montanus	 	 	 	Wild	Unknown	Unknown Country	 	 	 	 	 	Duval et al unpubl	 
8199	PAMON01	 	Haemoproteus	Passeriformes	Passeridae	Passer	Passer hispaniolensis	 	Migratory	Adult	Wild	Europe	Bulgaria	 	Kalimok	44°01.00000', 026°26.00000'	3	83	Emmenegger et al 2018	 
8200	PAPOL01	PAPOL01	Haemoproteus	Passeriformes	Fringillidae	Nemosia	Nemosia pileata	 	 	 	Wild	South America	Brazil	 	Salto da Divisa	-15°59.00000', -039°57.00000'	1	 	Lacorte et al 2013	 
